h4;;;;
0;25;50;75;100
1.2750000000000001;1.3875000000000002;1.5;1.6124999999999998;1.7249999999999999
0.9301044379110768;1.037904538350635;1.1;1.1892060569941842;1.257841559849919
0.6729351558988037;0.7649286300569036;0.8;0.8685406412693306;0.9097611684307281
0.6695392021792901;0.7698094541716153;0.8;0.8707995577769805;0.9050529967743128
0.583010534369413;0.6751554347960063;0.7;0.7485407184543689;0.7881838560755637
0.5803421103768359;0.6736415557923663;0.7;0.734501080870962;0.7848862708436145
0.5778654796159544;0.6715450430555941;0.7;0.7236182324128542;0.7791769306443656
0.6578236316573014;0.7640429497468185;0.8;0.8289124533617455;0.8862184201990659
0.7374077504155169;0.8539699567224847;0.9;0.9358597455296667;0.994046670273137
0.7350375682718031;0.8461321139930613;0.9;0.9401503965289794;0.9923062519169641
0.8214906465535953;0.9313464420074111;1;1.0500540095553765;1.1014477962599167
0.9099142171059138;1.0135242121649057;1.1;1.161250770099082;1.2108953388171937
0.9171379392240067;1.009692842314343;1.1;1.1671157659045721;1.2105019419850669
1.0092253101214406;1.0983198069361042;1.2;1.2793808982330765;1.3211536342697896
1.1033020000507876;1.1876828080965574;1.3;1.3920702112853665;1.4326183296186161
1.1990001188561128;1.2780397024649188;1.4;1.5056620996666596;1.5458395195891337
1.2957941549158634;1.3694395483288928;1.5;1.616740930417336;1.656271661717986
1.3774555977963865;1.4512890704059194;1.6;1.7165914392486874;1.7667058451711726
1.544174263044884;1.6226677678789854;1.8;1.9168034723849245;1.9875621991115409
1.7095574651992973;1.7925474568666184;2;2.1084658390372404;2.2084226266997327
1.7884554429438089;1.8720227488030101;2.1;2.204941191128507;2.3188649991017254
1.7818482664068285;1.8676233142134386;2.1;2.196156477413152;2.3188862889321014
1.6688305705609805;1.7585764027788755;2;2.08365768012442;2.208483454882817
1.3984617735323672;1.4806047971399177;1.7;1.7543077035688375;1.8772282504708842
1.1396146105935019;1.2109222406998164;1.4;1.4380393774462532;1.5517895561298565
1.065413146260913;1.1299995187379526;1.3;1.3335841731084113;1.4507940965374058
1.0745783162514426;1.1369772835401981;1.3;1.3350065636723445;1.4667624642649888
1.0020992169836238;1.057180021153697;1.2;1.235531506752451;1.3739373570575022
0.929090199764898;0.976922053508977;1.1;1.1361521824770446;1.2791176792803745
1.02550262037527;1.081442384748462;1.2;1.242835181181407;1.413338369071407
1.1234466853713;1.1896637912544639;1.3;1.3459155755078793;1.5291932191665654
1.309163840237022;1.3934629198604014;1.5;1.5525634464484301;1.7621346486799518
1.407914403943642;1.4699816159968373;1.6;1.6556302154123874;1.8770320375404637
1.649451183588102;1.7130771346213625;1.9;1.9655667875363214;2.2257930148084655
1.792168403178771;1.8604624960561518;2.1;2.171980473383332;2.4564408690002
1.927573564627625;2.0052450406239197;2.3;2.378414302177714;2.686260211109475
2.2269529984001393;2.3231247199968745;2.7;2.7914434694021875;3.1484431009935285
2.363576010118331;2.4715410254818266;2.9;2.9906979811891143;3.3422419416824702
2.5068515688623023;2.625769435914565;3.1;3.1887227118785546;3.5294244242897013
2.977906258072923;3.122944602792332;3.7;3.797407134080873;4.167004193016056
3.38326042824377;3.547845445732508;4.2;4.303542787111925;4.6904326470761175
3.5478564846424723;3.720561742071599;4.4;4.504013375247463;4.885115133766053
3.4710832063002828;3.640766689609729;4.3;4.399731932326344;4.7561618084952855
3.232969426034438;3.3927150923681086;4;4.097950354307646;4.41417299425306
2.6709666627223445;2.805864865073324;3.3;3.390729452888453;3.6367334611132005
2.2698620756040304;2.3891844954809813;2.8;2.8922033176003143;3.0832684726671746
1.9533193607361932;2.0618363002842433;2.4;2.4988094569069705;2.6415966407253704
1.7175433644245715;1.819445067101189;2.1;2.2084731104549387;2.3120494967468086
1.2340780886604628;1.3139820909880864;1.5;1.5930323214477307;1.652144456763581
0.9112585855625274;0.9767798648631701;1.1;1.1773857146337132;1.212298755754519
0.6679190829453868;0.7216141502955803;0.8;0.8609593533651306;0.8824362580505047
0.6735936122941837;0.7336758603650183;0.8;0.8641911803202244;0.883534457268459
0.5887055261775122;0.6357133492510986;0.7;0.7583720071481255;0.77445827884004
0.5880216449275093;0.6299189789897277;0.7;0.7581709739630595;0.7763695240665485
0.5873432681497519;0.6248262543530222;0.7;0.7563419391890002;0.7790011191658494
0.6704810057005335;0.7091880204015193;0.8;0.8587056074442503;0.8942928843842621
0.7617930722686;0.7994255015246835;0.9;0.9552393883822416;1.0118520850993051
0.7694785615106908;0.802386107571195;0.9;0.9436740072968257;1.018887194481639
0.863232142738589;0.8956716130742015;1;1.0396276690416093;1.1410654144785382
0.952827585101685;0.9861362376511754;1.1;1.139025036395602;1.2657369380420889
0.9559646158432304;0.9907331030090846;1.1;1.1378605177840069;1.2762478047589079
1.0461270328477432;1.0867665084272056;1.2;1.2418036193877413;1.4028718944272676
1.1366377684384024;1.1851788477476366;1.3;1.345987250922274;1.519001983038208
1.2274409063175675;1.2865682846256339;1.4;1.4508515873596761;1.6350040847528953
1.318482526576837;1.3912645788120186;1.5;1.5568745204648402;1.7508765639697785
1.4097119382566956;1.4989744492276689;1.6;1.6626693823232654;1.8578588907555815
1.5893815653742656;1.7032420182146735;1.8;1.8723454467724236;2.0784653307659955
1.7319668725098243;1.8948505588986198;2;2.083556620374137;2.29616356355195
1.7714372574019686;1.9897194745526767;2.1;2.192456046144523;2.3972073263933344
1.7292804033727283;1.9965032392411042;2.1;2.198659610579799;2.384044967591424
1.6217324273792466;1.9077063346938115;2;2.10118894780208;2.258922173909927
